Sežana;8.86;7.23;8.20;8.69;8.30;9.56;10.20;8.33
Slovenj Gradec;10.09;7.31;11.88;9.01;12.37;13.40;12.69;11.22
Slovenska Bistrica;10.43;7.65;8.50;8.81;10.51;9.77;11.15;8.98
Slovenske Konjice;8.16;6.74;8.57;8.46;8.95;10.94;10.04;8.37
Sodražica;9.12;7.71;13.50;9.69;9.29;12.92;7.77;12.38
Solèava;3.66;7.41;7.92;1.94;9.67;3.88;13.51;15.30
Središèe ob Dravi;-;8.36;6.54;9.32;8.92;9.84;12.80;10.68
Starše;6.37;6.11;9.84;7.78;10.09;10.12;12.92;8.56
Straža;-;10.72;9.76;10.01;8.32;15.03;10.28;11.97
Sveta Ana;5.46;4.63;3.80;5.06;8.55;9.84;7.69;7.30
Sveta Trojica v Slov. goricah;-;8.36;5.46;6.10;9.00;7.55;8.10;9.58
Sveti Andraž v Slov. goricah;4.85;5.66;6.63;7.44;7.37;7.62;6.15;5.15
Sveti Jurij ob Šèavnici;4.78;3.70;4.88;7.96;7.60;10.02;9.69;7.34
Sveti Jurij v Slov. goricah;-;7.91;2.37;3.30;6.25;6.22;7.11;8.19
Sveti Tomaž;-;4.53;10.13;5.73;9.57;8.04;6.16;7.24
Šalovci;2.36;0.60;1.25;2.52;8.29;9.11;4.60;6.70
Šempeter - Vrtojba;8.70;10.55;8.68;11.40;10.55;11.19;7.09;11.74
Šenèur;7.53;10.08;8.61;8.92;11.07;10.27;9.21;7.91
Šentilj;5.42;5.98;6.65;6.18;7.84;7.36;8.27;6.40
Šentjernej;7.56;7.86;7.92;11.30;8.85;11.19;9.41;8.64
Šentjur;9.12;9.58;9.00;10.28;10.69;11.68;11.30;9.46
Šentrupert;-;7.07;7.48;8.89;7.79;7.78;6.68;6.92
Škocjan;5.02;5.60;5.04;8.25;9.65;8.14;7.13;11.18
Škofja Loka;8.69;9.86;9.66;10.40;9.38;10.63;10.17;9.20
Škofljica;9.74;10.80;8.80;9.81;9.20;8.40;10.98;9.61
Šmarje pri Jelšah;8.02;7.63;6.84;8.65;9.65;9.96;9.05;8.22
Šmarješke Toplice;-;8.17;11.38;8.15;7.58;10.44;9.62;11.10
Šmartno ob Paki;7.47;9.22;9.95;13.91;16.45;12.50;13.36;11.17
Šmartno pri Litiji;2.29;7.01;6.83;5.75;11.57;8.41;11.95;8.95
Šoštanj;6.82;9.18;7.13;7.54;8.97;11.15;13.03;9.43
Štore;7.14;9.17;9.39;10.03;11.71;8.38;7.92;8.00
Tabor;4.04;4.68;3.97;13.19;12.58;9.91;16.22;12.35
Tišina;3.73;5.39;9.17;5.53;8.22;9.90;7.52;6.33
Tolmin;10.89;9.37;8.53;10.50;11.35;11.95;7.95;10.91
Trbovlje;7.47;7.04;7.92;9.10;9.83;9.23;8.59;8.12
Trebnje;14.22;8.67;8.70;8.68;10.47;11.17;9.86;9.86
Trnovska vas;4.63;6.10;7.62;7.54;9.65;10.36;5.19;8.90
Trzin;15.30;10.92;11.68;9.80;8.32;13.56;13.16;10.65
Tržiè;8.42;7.88;7.44;9.60;8.75;9.67;8.87;8.31
Turnišèe;4.30;9.18;5.62;10.67;8.28;10.07;8.39;3.01
Velenje;9.95;8.58;9.87;10.90;11.45;11.87;11.18;9.40
Velika Polana;5.23;6.57;4.72;7.54;6.04;6.04;6.81;7.55
Velike Lašèe;6.39;6.35;9.25;10.11;11.79;7.86;10.85;11.89
Veržej;3.73;7.53;6.12;8.38;8.55;7.79;3.85;11.57
Videm;8.30;5.36;5.57;5.89;6.76;8.34;7.85;7.37
Vipava;8.62;10.14;8.71;11.50;9.46;13.75;13.51;12.34
Vitanje;8.96;5.11;8.30;7.00;11.80;13.07;14.56;8.05
Vodice;8.54;6.73;9.49;9.89;9.97;10.19;8.37;11.20
Vojnik;6.62;8.18;7.12;9.05;8.18;9.36;10.46;10.43
Vransko;5.51;6.66;5.46;6.50;11.98;5.35;8.30;5.39
Vrhnika;10.59;9.83;9.23;9.99;9.21;10.05;9.25;9.18
Vuzenica;4.98;5.36;6.55;10.51;7.72;10.34;13.57;11.82
Zagorje ob Savi;7.29;7.98;7.66;6.85;9.62;10.05;9.35;9.48
Zavrè;2.64;3.22;5.92;3.11;5.55;5.42;3.45;3.95
Zreèe;6.67;8.36;9.55;9.40;11.94;12.16;8.14;8.18
Žalec;8.66;8.07;8.91;7.82;9.22;8.96;8.78;8.99
Železniki;9.73;9.46;7.38;11.53;11.08;14.13;13.26;12.57
Žetale;4.99;8.55;6.79;5.21;14.33;11.07;15.67;11.99
Žiri;10.16;8.07;8.16;13.22;11.42;6.74;9.82;12.00
Žirovnica;8.05;10.10;9.62;9.72;8.27;11.36;12.95;10.48
Žužemberk;6.32;6.09;6.85;9.29;8.38;10.51;10.29;10.75
Stalno bivališèe neznano ali v tujini;-;-;-;-;-;-;-;-
